1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20260115" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 1.9999999999999826E+001 4.3218026539059142E+000 2.6158668273962893E+000 3.5341466680046474E+000 5.4784199905926698E+000 -5.5769939350631432E+000 8.1045037371333013E+000 6.9999999999999996E-001 2.9797635251138611E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292309991311127E+001 8.5000496627254163E-001 3.5223957316166008E+001 3.0562359220616316E-005 1.8785329398435432E+007 1.0838521639002615E+003 9.5329505836572610E+006 -2.1767686547966406E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767686547966406E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165554715533442E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7304012094227917E-008
2 2.2000000000000003E-005 1.9999999999999616E+001 4.3224432082063222E+000 2.6158725888472962E+000 3.5343039258542457E+000 5.4784183727283988E+000 -5.5769901080506363E+000 8.1045045327033165E+000 6.9999999999999996E-001 2.9797635251138611E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292295624407835E+001 8.5000496627254141E-001 3.5223909597954702E+001 3.0562371293460241E-005 1.8785703217939444E+007 1.0822403779706574E+003 9.5189005053785015E+006 -2.1767682490538899E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767682490538899E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165550658105936E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7326046553186597E-008
3 3.6400000000000004E-005 1.9999999999999368E+001 4.3231888680921964E+000 2.6158794805313614E+000 3.5344868949836816E+000 5.4784162465185364E+000 -5.5769864755480709E+000 8.1045044087493423E+000 6.9999999999999996E-001 2.9797635251138611E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292279943805507E+001 8.5000496627254163E-001 3.5223855924102928E+001 3.0562368587209294E-005 1.8786150379984297E+007 1.0803666805169257E+003 9.5025710958992373E+006 -2.1767683950347148E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767683950347148E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165552117914185E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7351850319723426E-008
4 5.3680000000000001E-005 1.9999999999999069E+001 4.3240515217171467E+000 2.6158875592778896E+000 3.5346985190166547E+000 5.4784138846831452E+000 -5.5769824362858218E+000 8.1045042746183942E+000 6.9999999999999996E-001 2.9797635251138608E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292262515782728E+001 8.5000496627254163E-001 3.5223796275700714E+001 3.0562365619136796E-005 1.8786674577289160E+007 1.0782027850974191E+003 9.4837145556493849E+006 -2.1767685596351068E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767685596351068E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165553763918105E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7381943915118125E-008
5 7.4416000000000000E-005 1.9999999999998707E+001 4.3250424599715673E+000 2.6158969885304346E+000 3.5349415389539875E+000 5.4784112938659586E+000 -5.5769779974526488E+000 8.1045041341933253E+000 6.9999999999999996E-001 2.9797635251138608E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292243379782159E+001 8.5000496627254163E-001 3.5223730793782082E+001 3.0562362444902795E-005 1.8787286421985921E+007 1.0757220772116257E+003 9.4621000462698638E+006 -2.1767687424937357E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767687424937357E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165555592504393E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7416828548453947E-008
6 9.9299199999999986E-005 1.9999999999998273E+001 4.3261712670455159E+000 2.6159079391166911E+000 3.5352182654293465E+000 5.4784084918597591E+000 -5.5769731826276141E+000 8.1045039942315693E+000 6.9999999999999996E-001 2.9797635251138611E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292222651382021E+001 8.5000496627254163E-001 3.5223659883637225E+001 3.0562359167985822E-005 1.8787997007889368E+007 1.0729026652622808E+003 9.4375383325299211E+006 -2.1767689417882274E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767689417882274E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165557585449310E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7456993257202262E-008
7 1.2915903999999998E-004 1.9999999999997755E+001 4.3274445674992963E+000 2.6159205843608939E+000 3.5355302679206901E+000 5.4784055092055421E+000 -5.5769680333056746E+000 8.1045038654670947E+000 6.9999999999999996E-001 2.9797635251138611E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292200531328003E+001 8.5000496627254141E-001 3.5223584247352456E+001 3.0562355958236224E-005 1.8788817593949419E+007 1.0697304998275777E+003 9.4099091003173292E+006 -2.1767691535996690E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767691535996690E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165559703563726E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7502867367671104E-008
8 1.6499084799999998E-004 1.9999999999997126E+001 4.3288645506076033E+000 2.6159350941253074E+000 3.5358780088155606E+000 5.4784023899644918E+000 -5.5769626087063635E+000 8.1045037639180979E+000 6.9999999999999996E-001 2.9797635251138611E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292177307769537E+001 8.5000496627254163E-001 3.5223504893492795E+001 3.0562353074054995E-005 1.8789759218214702E+007 1.0662029641660085E+003 9.3791924045032877E+006 -2.1767693711497486E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767693711497486E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165561879064523E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7554770151484749E-008
9 2.0798901759999997E-004 1.9999999999996366E+001 4.3304274127615123E+000 2.6159516287627875E+000 3.5362604570352976E+000 5.4783991913271946E+000 -5.5769569833525878E+000 8.1045037123306276E+000 6.9999999999999996E-001 2.9797635251138608E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -1.3292153349363389E+001 8.5000496627254141E-001 3.5223423115859859E+001 3.0562350887121235E-005 1.8790832305974964E+007 1.0623325506591716E+003 9.3455008839765340E+006 -2.1767695839510413E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1767695839510413E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.3165564007077450E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7612850160470516E-008
